,2023-02-24,2023-02-28,2023-03-04,2023-03-08,2023-03-12,2023-03-16,2023-03-20,2023-03-24,2023-03-28,2023-04-01,2023-04-05,2023-04-09,2023-04-13,2023-04-17,2023-04-21,2023-04-25,2023-04-29,2023-05-03,2023-05-07,2023-05-11,2023-05-15,2023-05-19,2023-05-23,2023-05-27,2023-05-31,2023-06-04
2023-02-24,1.0,1.0037664328346299,1.0029443217805638,1.0014516900951942,1.002779745911541,1.0082212998735145,1.0031631449734402,1.0022044830115733,1.0016648560635353,1.0022355885166365,1.0021700839277616,1.0012048371316642,1.000107813760229,0.9983215572578448,0.9982810623091474,0.9980905994605433,0.9971252820917501,0.9963230285714153,0.9953838907682893,0.994024775699967,0.9933893060612152,0.9926464674697657,0.9915451986725512,0.98895119715337,0.9880761848441992,0.9867442437678071
2023-02-28,0,1.0,1.0023867801147528,1.001631730093848,1.0025076908310142,1.0046347556917938,1.0016030936123197,1.0002868858445457,0.9997420074840304,0.9989838278227049,0.9977086750611294,0.99690846594377,0.9959090847250205,0.9942154758701223,0.9942303984897347,0.9943193157401322,0.9931221178471648,0.9924528620355871,0.9912078160759776,0.9911598385456637,0.990942689717515,0.9904032022025817,0.98971924295617,0.9884104786785629,0.9875791988938637,0.9866726139284635
2023-03-04,0,0,1.0,1.0002660263955983,1.0005073342553,0.9980879200723318,0.9978565249990832,0.9960529967291379,0.9954915185949084,0.9929228536408211,0.9900044157482566,0.9894307340097751,0.9885683990436497,0.987021917372543,0.9870974782665294,0.987555901068968,0.9860487766958066,0.9855592914865242,0.9839026190790964,0.9856460506860732,0.9859965513990416,0.9857361011058028,0.985627867913317,0.9860966177936543,0.9853336695437657,0.9850179437299096
2023-03-08,0,0,0,1.0,1.0000951594711704,0.9968787114858904,0.9972121526975941,0.9953125855019183,0.9947052344867546,0.9918417635074791,0.9886425082267594,0.9881056185256564,0.9872728554043312,0.9858221914267193,0.9858479273188153,0.9863282784034666,0.9847808923602965,0.9843091533627536,0.9825905582586215,0.9846479178558305,0.9850824026519144,0.9848717127176572,0.9848728203533004,0.985673031333855,0.9849439838305875,0.9847385493342243
2023-03-12,0,0,0,0,1.0,0.9974730033605356,0.9974351171652994,0.9956017118836236,0.9949663019566574,0.9923933603964714,0.9894472415305815,0.9888741409384708,0.9880248144077114,0.9866025547325261,0.9865757980773253,0.9869698181397372,0.9854795143266596,0.9849708557016703,0.9833219453576866,0.985108177720117,0.9854458878484941,0.9851937796527116,0.9851135907794172,0.9856566823491336,0.984932829648909,0.9846418134757086
2023-03-16,0,0,0,0,0,1.0,0.9970000673111162,0.9956848566151266,0.9950173352954669,0.9944511657999506,0.9933167156775957,0.9924929222540504,0.991502841099238,0.9900120365690328,0.9898438348360573,0.9897807207820988,0.988651488308701,0.9879304851038262,0.9867498858130088,0.9865711708941691,0.9862727228973318,0.9857202931412885,0.9850241832593016,0.9836531025451167,0.9828825282507841,0.9819581765806765
2023-03-20,0,0,0,0,0,0,1.0,0.9983161520153662,0.997530271098431,0.9957559397596022,0.9934833682681348,0.9928076233653435,0.9919220085382302,0.990694692358043,0.9904228191454076,0.9905149028994059,0.9891965159287776,0.9885647792219684,0.9871140875181997,0.9881874446862667,0.9882445331377411,0.9878847310461579,0.9876049201282296,0.9875054885460011,0.9868312826469301,0.9863257428407944
2023-03-24,0,0,0,0,0,0,0,1.0,0.9991339350030073,0.9976087530477036,0.9955358811201976,0.9948268465317207,0.9939342210388487,0.9928210171512525,0.992426817363535,0.9923954242334205,0.9911374637476269,0.9904576215118216,0.9890717354164761,0.9899378271657392,0.9899007424291677,0.9895101378265184,0.9891788671254852,0.9889078884536159,0.9882652499875911,0.9877020234613166
2023-03-28,0,0,0,0,0,0,0,0,1.0,0.9985693516850086,0.9965681848105952,0.9958462079256434,0.9949526387057637,0.9939025472045617,0.9934450257673526,0.9933560285185327,0.9921235139503154,0.9914219415361747,0.9900617174451138,0.9908551730115068,0.9907798944197443,0.9903786381594182,0.990031883733614,0.9897065433885235,0.9890819236450459,0.9885002056857571
2023-04-01,0,0,0,0,0,0,0,0,0,1.0,0.9987627621861808,0.9979322127028126,0.9969774753020397,0.9959011015127135,0.9953794029944887,0.9950948496975488,0.9940144724690817,0.9932207683120544,0.9920580610190501,0.9920190183139598,0.9916767928601464,0.9911498972148365,0.9905445583945467,0.989416065533712,0.9887708480333811,0.9879240586937338
2023-04-05,0,0,0,0,0,0,0,0,0,0,1.0,0.9990594177317638,0.9980416196060986,0.9969249957601521,0.9963504927942614,0.9958756220949473,0.9949483671450835,0.9940639295323382,0.9931016363438782,0.9922140391605045,0.99160487053416,0.9909512209473753,0.9900829020916283,0.9881399787340691,0.9874698232799999,0.986355620906213
2023-04-09,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9989926826446518,0.9979622305976162,0.9973187825985012,0.9968086507472518,0.9958837383640884,0.9949892731571082,0.9940206795859956,0.9932039231717231,0.9925991885057557,0.9919570279760006,0.9911201670845017,0.9892666604076829,0.9886231310959027,0.9875378207929187
2023-04-13,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9990490030411285,0.9983383081143304,0.997786771584965,0.996870588385038,0.9959628008896197,0.9949968020205702,0.9942105607606813,0.9935984296613115,0.9929615667811548,0.9921429958941104,0.9903386895831422,0.9897192085585688,0.9886495540573359
2023-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9992242228678326,0.9986477249613805,0.9977261105637933,0.9968133394942594,0.9958309263940138,0.9951584029164177,0.9945639131014243,0.9939446456743136,0.9931703527393728,0.9914953286110025,0.9909036062785905,0.9898758213543088
2023-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9993694272169462,0.998475981474386,0.9975413852900186,0.9965903599152759,0.9958107034507037,0.9951720853076129,0.994537358044364,0.9937354720324283,0.9919704054040148,0.9913898793894917,0.9903322662623355
2023-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9991083454500626,0.9981663115124384,0.9972101290916644,0.996488373799566,0.9958533358217693,0.9952277242036667,0.994451003118335,0.9927575401460882,0.9921983957997109,0.991163843191698
2023-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.999028120700943,0.9981229517311249,0.997205657799275,0.9965007614036014,0.9958465466927401,0.9950141113239224,0.9931444048874497,0.9925912326700083,0.9914986297944164
2023-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9991003191349866,0.9982046093473879,0.997488040655485,0.9968375898154855,0.996020894031206,0.9941920441604798,0.99366420410522,0.99258438827382
2023-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9988445644379261,0.9980417786000503,0.9973532892546756,0.9964596870071066,0.9943905238573021,0.993862057269194,0.9927033786228157
2023-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9994181526502796,0.9988618731114549,0.9982672609613986,0.9971004045132271,0.9966730138402135,0.9958084357795456
2023-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9994689928516256,0.9989353889093612,0.9979495012159036,0.9975532017303649,0.9967474069987219
2023-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9994921735880179,0.9985802939934728,0.9982047824765575,0.9974227897742522
2023-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9993188175985134,0.9989781504901942,0.9982713229399255
2023-05-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9997442694758928,0.9992890260836237
2023-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9995508773107771
2023-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
